composer,intervallic_entropy,melodic_entropy, average_nPVI, meter,date,rhythm_entropy
Bach,2.47718,3.02717,25,3/4,1723,1.22439
Bloch,3.02263,2.14036,29.1667,3/4,1924,0.650022
Boccherini,1.92586,2.1652,12.3649,4/4,1770,1.17607
Boccherini,2.92585,2.92585,47.5737,4/4,1770,1.54879
Boccherini,2.33229,2.23562,31.5873,4/4,1770,1.58657
Boccherini,2.61139,2.69527,18.5185,3/8,1770,0.629249
Boccherini,2.1383,2.77645,27.7949,3/8,1770,1.28002
Bach,2.82821,3.27095,40,4/4,1723,0.522559
Boccherini,1.9943,2.39327,46.3188,4/4,1770,2.35077
Boccherini,2.56404,3.02613,52.6165,4/4,1770,2.57393
Boccherini,2.37123,2.4112,15.1515,3/8,1770,1.32578
Boccherini,2.73685,2.69687,23.8095,6/8,1781,0.666578
Bach,2.98034,2.81321,40,3/8,1723,2.15597
Boccherini,2.75392,3.17757,35.5556,2/4,1781,1.54515
Boccherini,2.83604,2.46951,23.0125,3/4,1781,1.42879
Boccherini,2.30226,2.47044,22.6087,3/4,1781,1.16399
Boccherini,2.31752,3.10113,21.645,2/4,1781,0.973784
Bach,1.74717,2.7744,32.2222,3/8,1723,1.45727
Bach,2.6494,2.78064,35.1515,2/4,1735,1.38443
Boccherini,2.57644,2.86571,26.0606,2/4,1781,0.639556
Boccherini,2.12809,2.18201,45.504,3/4,1781,2.04644
Boccherini,2.67034,2.71533,36.9231,3/4,1781,0.863121
Boccherini,2.88612,2.71007,26.1538,3/4,1781,1.26381
Boccherini,2.8659,2.81564,26.6667,4/4,1781,1.27291
Boccherini,2.84022,2.89542,10.6667,3/8,1781,0.999655
Bach,2.43913,2.93604,39.0643,3/4,1735,1.15457
Boccherini,2.41651,2.68521,23.5311,3/4,1781,1.56545
Boëllmann,2.31662,2.56229,39.1111,2/2,1895,1.50524
Boëllmann,2.37611,2.96988,52.6316,3/4,1895,1.40998
Boëllmann,2.73346,2.72722,46.2857,6/4,1895,1.46048
Boëllmann,2.42949,2.58402,147.911,4/4,1895,1.90564
Boëllmann,2.60982,2.61164,94.6779,4/4,1895,2.10293
Boëllmann,2.74932,2.5843,37.193,3/4,1895,1.36096
Boïeldieu,2.8046,2.67937,37.9167,6/8,1800,0.986427
Boïeldieu,2.50236,2.50644,11.4286,4/4,1800,0.918296
Boïeldieu,2.70294,2.48752,28.1481,4/4,1800,1.32353
Bach,2.1397,2.84403,18.8235,2/2,1735,1.41527
Boïeldieu,3.03566,2.70912,68.1036,2/2,1825,2.53187
Boïeldieu,2.55351,2.18872,21.0542,4/4,1825,0.881291
Boïeldieu,2.63283,2.78767,16.6667,4/4,1825,0.258019
Borodin,2.48745,2.49628,41.1204,2/4,1880,1.72297
Borodin,2.10132,2.23662,70.0457,2/4,1880,2.234
Borodin,2.4864,2.88731,40.1786,4/4,1869,1.32595
Borodin,2.33099,2.97775,20,4/4,1869,0.69129
Borodin,2.50967,2.97076,37.2024,3/4,1869,1.15855
Borodin,2.40667,1.87025,34.4444,3/4,1869,0.918296
Borodin,2.64652,2.82429,26.6667,6/8,1869,0.513185
Bach,3.00869,2.8037,17.7778,2/2,1735,0.811278
Borodin,2.27187,2.0814,50,2/4,1874,0.918296
Borodin,2.42113,2.68548,14.2857,2/4,1874,0.56651
Borodin,3.21925,3.08925,44.9275,2/4,1874,1.39654
Borodin,2.72783,3.06921,29.2208,3/4,1874,1.63355
Borodin,2.52973,2.95894,8.69565,3/4,1874,0.242292
Borodin,2.46337,2.66013,11.9048,3/4,1874,0.391244
Borodin,2.62777,2.76305,20,3/8,1874,0
Borodin,2.78086,2.54453,23.0769,2/4,1874,1.29169
Borodin,2.99112,2.63717,25.3968,3/4,1874,0
Borodin,2.94639,2.57019,40,3/4,1874,0.834347
Borodin,2.84411,2.75155,16.4907,2/2,1881,1.31904
Borodin,2.20044,2.90078,58.3074,2/2,1881,2.01528
Borodin,2.46924,2.66013,72.5661,2/2,1881,2.04584
Borodin,2.44192,2.60985,49.0909,3/4,1881,1.78416
Borodin,2.78509,3.00597,56.2298,3/4,1881,2.38917
Borodin,2.25375,3.25435,32.021,3/4,1881,1.95282
Borodin,2.52535,2.96558,52.0147,3/4,1862,1.26381
Bach,2.94915,3.00972,53.1117,2/2,1774,2.2725
Borodin,2.09384,2.35648,24.127,3/4,1862,0.840491
Borodin,2.6885,2.88875,50.4762,3/8,1862,0.574828
Borodin,2.43537,2.20899,7.84314,3/4 4/4 3/4,1862,0.503258
Borodin,2.66571,2.4112,54.7778,3/4,1862,1.43963
Borodin,2.46235,2.72472,31.7037,3/4,1862,1.77798
Borodin,2.80048,2.8314,54.7368,2/2,1862,1.68582
Borodin,2.52964,2.54036,40.202,2/2,1869,1.592
Borodin,2.43595,2.26925,33.6508,2/2,1869,1.40293
Borodin,2.71879,2.85554,25.6614,2/2 3/2,1869,1.82482
Borodin,2.4478,2.7719,29.6296,1/0,1869,0.918296
Borodin,2.61605,2.6206,23.5294,6/4,1869,0.439497
Borodin,2.84774,2.91937,39.4203,4/4 3/4 4/4,1869,1.47174
Borodin,2.61997,2.43425,86.6822,4/4,1869,2.25
Borodin,2.84903,2.61469,35.291,3/4,1869,1.15678
Borodin,2.47722,2.65564,22.2222,3/4 2/4,1869,0.995727
Borodin,2.59164,2.83009,22,3/4,1869,1.49371
Borodin,2.49954,2.83978,31.4286,2/2,1882,1.53291
Borodin,2.5048,2.68953,35.8974,2/2,1882,1.55666
Borodin,2.63325,2.75584,29.697,2/2,1882,1.33778
Borodin,1.69732,2.41883,14.7404,2/4,1882,0.970951
Borodin,2.61598,2.54053,22.9742,2/4,1882,1.39215
Borodin,2.7114,2.71452,24.0693,3/4,1882,1.46438
Boyce,2.54545,3.34535,34.2211,4/4,1770,1.32788
Boyce,2.31841,3.23078,2.46914,4/4,1770,0.676942
Brahms,2.9904,3.06356,37.8667,4/4,1854,1.27226
Brahms,2.6605,2.58282,48.5213,4/4,1854,1.78548
Brahms,2.50271,2.25271,44.2105,4/4,1854,0.721928
Brahms,2.42113,3.1037,80.8163,2/2,1892,1.72323
Brahms,2.55283,2.71521,100,2/2,1892,1
Brahms,3.23804,3.29365,11.1905,2/4,1878,0.716726
Brahms,2.6112,2.48925,3.1746,3/8,1892,0.266765
Brahms,2.9328,2.94353,70.1531,6/4,1854,1.99261
Brahms,2.86003,2.80041,94.7985,6/4,1854,1.44065
Brahms,2.3523,2.50687,20,6/4,1854,0.591673
Brahms,2.80739,3.16681,20,6/4,1854,0.591673
Brahms,2.49947,2.88888,39.2157,6/4,1854,1.23616
Brahms,2.79238,2.68481,30.1754,2/4,1854,1.41309
Brahms,2.99741,2.7876,45.8343,2/4,1854,1.67582
Brahms,3.01282,2.77645,49.4737,2/4,1854,1.206
Brahms,2.39228,2.65315,53.3353,4/4,1878,1.64571
Brahms,2.60123,3.25687,44.0741,4/4,1878,1.60683
Brahms,3.24946,3.30875,73.3333,4/4,1878,1.16609
Brahms,2.52182,2.59423,48.6111,3/4,1878,1.76096
Brahms,2.46351,2.32203,78.5714,3/4,1878,1.53049
Brahms,2.51508,2.97288,68.3333,6/4,1878,1.77234
Brahms,2.83362,3.27806,76.4706,2/4,1878,1.21587
Brahms,2.69349,2.85278,100,2/4,1878,0.997503
Brahms,1.98799,2.92466,9.67815,2/4,1878,0.811278
Brahms,2.07203,2.25491,48,2/4,1878,0.791858
Brahms,2.45358,2.27966,33.3333,3/4,1878,1.10331
Brahms,2.78926,2.67237,102.596,3/4,1878,1.50335
Brahms,3.32418,2.77615,60,3/4,1878,1.33966
Brahms,2.73496,2.69347,20.6061,2/4,1878,1.16256
Brahms,3.03453,2.71008,53.619,2/4,1878,1.29947
Brahms,2.90559,3.30226,84.9123,2/4,1878,1.78416
Brahms,2.67079,2.99795,74.4404,4/4,1888,2.28548
Brahms,2.84283,3.02418,16.6667,4/4,1888,1.34859
Brahms,2.82272,2.6986,11.7647,3/4,1888,0.918296
Brahms,2.87261,3.02599,13.3333,3/4,1888,0.258019
Brahms,2.94786,2.62628,36.1111,2/4,1888,0.855451
Brahms,2.96059,2.84314,20.6061,2/4,1888,0.918296
Brahms,2.19908,2.21709,49.435,2/4,1888,2.05795
Brahms,2.28925,2.42258,102.5,2/4,1852,1.39215
Brahms,2.55218,2.21097,42.684,2/4,1852,1.83393
Brahms,2.18033,2.54031,6.89655,2/4,1852,0.353359
Brahms,2.70324,2.38684,28.0702,2/4,1852,1.36096
Brahms,2.79248,2.67353,47.619,2/4,1852,0.650022
Brahms,2.15804,2.7069,39.8095,2/4,1852,1.78142
Brahms,2.66123,2.7822,81.2325,2/4,1852,1.9183
Brahms,2.35597,2.25023,10.5263,2/4,1852,0.721928
Brahms,2.8152,2.39631,30.5537,2/4,1852,1.50582
Brahms,3.0691,2.88598,39.3333,2/4,1852,1.52246
Brahms,2.6276,2.4178,40.7407,2/4,1852,1.05294
Brahms,3.24644,3.34644,5.55556,4/4,1878,0.988699
Brahms,2.0374,2.44452,72.381,2/2,1878,1.58496
Brahms,2.61302,2.59174,64.3137,3/4,1892,1.41527
Brahms,1.83186,2.83009,34.9206,2/4,1892,0.845351
Brahms,3.2037,2.96596,56.351,3/4,1892,2.33291
Brahms,2.42774,2.92417,35.942,6/8,1892,1.38443
Brahms,3.48307,2.89288,31.5789,3/8,1892,0.865857
Brahms,2.87251,2.80687,50.9804,3/8,1892,1.05294
Brahms,2.66763,3.03242,63.3766,2/2,1892,1.26077
