Country,npvi
Deutschland,36.2193
Deutschland,48
Deutschland,42.9885
Deutschland,45.0216
Deutschland,48.3871
Deutschland,37.2789
Deutschland,33.3333
Deutschland,33.8462
Deutschland,18.6207
Deutschland,14.9333
Deutschland,40.0854
Deutschland,43.3333
Deutschland,30.0565
Deutschland,9.03955
Deutschland,37.3984
Deutschland,82.9229
Deutschland,19.9048
Deutschland,26.4334
Deutschland,22.1569
Deutschland,27.2281
Deutschland,28.8
Deutschland,63.7398
Deutschland,31.9728
Deutschland,51.3932
Deutschland,66.1774
Deutschland,42.0159
Deutschland,60
Deutschland,45.3314
Deutschland,41.8608
Deutschland;,41.873
Deutschland;,35.0893
Deutschland,31.0714
Deutschland,41.1348
Deutschland,30.3382
Deutschland,30.6863
Deutschland,50.2857
Deutschland,26.2781
Deutschland,39.3939
Deutschland,39.3192
Deutschland,53.8217
Deutschland,59.4491
Deutschland,74.101
Deutschland,12.3457
Deutschland,17.9487
Deutschland;,37.7656
Deutschland,32.183
Deutschland,32.6727
Deutschland,18.8278
Deutschland,46.2397
Deutschland,49.0816
Deutschland,53.4354
Deutschland,43.1966
Deutschland,46.2397
Deutschland,28.2946
Deutschland,19.6078
Deutschland,14.6667
Deutschland,28.4505
Deutschland,38.5934
Deutschland,18.4058
Deutschland,39.6429
Deutschland,32.4774
Deutschland,70.4714
Deutschland,24.4156
Deutschland,37.5619
Deutschland;,50.4689
Deutschland,38.6441
Deutschland,37.3333
Deutschland,30.9664
Deutschland,20.7778
Deutschland,36.6013
Deutschland,37.3366
Deutschland,58.6407
Deutschland,73.4591
Deutschland,46.7155
Deutschland,29.1182
Deutschland,44.1035
Deutschland,32.2487
Deutschland,64.4788
Deutschland,35.1412
Deutschland;,24.5528
Deutschland,37.6744
Deutschland,39.5
Deutschland,45.9238
Deutschland,43.0584
Deutschland,40.6576
Deutschland,8.08081
Deutschland,37.037
Deutschland,41.4414
Deutschland,46.5848
Deutschland,48.9821
Deutschland,69.3333
Deutschland,62.2638
Deutschland,21.9259
Deutschland,31.5789
Deutschland,61.6667
Deutschland,67.3446
Deutschland,24.7619
Deutschland,41.415
Deutschland,36.7677
Deutschland,30.5556
Deutschland,34.2517
Deutschland,30.2381
Deutschland,68.5057
Deutschland,29.6296
Deutschland,39.3651
Deutschland,34
Deutschland,8.08081
Deutschland,61.5942
Deutschland,11.1111
Deutschland,39.6131
Deutschland,29.2328
Deutschland,52.0685
Deutschland,24
Deutschland,39.0303
Deutschland,21.4286
Deutschland,64.2262
Deutschland;,34.2857
Deutschland,32.881
Deutschland,13.0159
Deutschland,85.9067
Deutschland,28.9796
Deutschland,58.2857
Deutschland,73.7351
Deutschland,24.1408
Deutschland,34.2029
Deutschland,67.0303
Deutschland,45.8667
Deutschland,66.6667
Deutschland,9.1954
Deutschland,21.8391
Deutschland,43.7778
Deutschland,28.8837
Deutschland,17.4496
Deutschland,63.7208
Deutschland,33.1217
Deutschland,26.8783
Deutschland,32.1388
Deutschland,32.5926
Deutschland,15.0538
Deutschland,28.3041
Deutschland,23.2558
Deutschland,37.094
Deutschland,26.8116
Deutschland,41.5801
Deutschland,52.6237
Deutschland,38.6411
Deutschland,25.4545
Deutschland,43.4773
Deutschland,47.7345
Deutschland,25.9612
Deutschland,39.8693
Deutschland,20.6763
Deutschland,42.4702
Deutschland,73.9209
Deutschland,41.7054
Deutschland,37.037
Deutschland,35.076
Deutschland,55.1111
Deutschland,47.971
Deutschland,39.0303
Deutschland,30.4762
Deutschland,57.9334
Deutschland,38.0247
Deutschland,27.2222
Deutschland,61.1765
Deutschland,27.8612
Deutschland,23.7288
Deutschland,16.3934
Deutschland,51.619
Deutschland,19.3237
Deutschland,24.9896
Deutschland,11.7829
Deutschland,45.4264
Deutschland,18.9027
Deutschland,42.1603
Deutschland,49.5833
Deutschland,24.3333
Deutschland,41.1329
Deutschland,58.4063
Deutschland,36.8889
Deutschland,63.1481
Deutschland,49.7825
Deutschland,35.6499
Deutschland,15.4762
Deutschland,44.0816
Deutschland,30
Deutschland,35.0877
Deutschland,62.3492
Deutschland,40.9171
Deutschland,38.7755
Deutschland,29.2063
Deutschland,31.7972
Deutschland,32.5653
Deutschland,42.9765
Deutschland,33.9869
Deutschland,26.6667
Deutschland,32.0755
Deutschland,22.7451
Deutschland,43.3499
Deutschland,23.0208
Deutschland,27.4854
Deutschland,58.9177
Deutschland,46.2136
Deutschland;,58.875
Deutschland,46.1398
Deutschland;,32.2807
Deutschland,30.2222
Deutschland,33.3333
Deutschland,31.5344
Deutschland,40.4444
Deutschland,23.2749
Deutschland,31.7687
Deutschland,32.3996
Deutschland,32.5397
Deutschland,31.5152
Deutschland,33.3333
Deutschland,42.8022
Deutschland,54.6791
Deutschland,39.6078
Deutschland,28.8406
Deutschland,25.3623
Deutschland,45.8503
Deutschland,52.9339
Deutschland,44.4444
Deutschland,38.3384
Deutschland,40.1418
Deutschland,34.3078
Deutschland,38.9841
Deutschland,35.1746
Deutschland,46.0819
Deutschland,62.1497
Deutschland,49.6919
Deutschland,37.3333
Deutschland,41.1111
Deutschland,43.18
Deutschland,51.4805
Deutschland,56.8627
Deutschland,40.3133
Deutschland,32.0417
Deutschland,22.2222
Deutschland,37.1111
Deutschland,41.8219
Deutschland,41.6092
Deutschland,28.9735
Deutschland,37.7778
Deutschland,29.037
Deutschland,42.4868
Deutschland,21.0884
Deutschland,18.0556
Deutschland,32.9472
Deutschland,18.6667
Deutschland;,40.2778
Deutschland,32.9252
Deutschland,29.3919
Deutschland,18.5654
Deutschland,54.3169
Deutschland,56.3289
Deutschland,53.5247
Deutschland,32.6984
Deutschland,42.5926
Deutschland,48.8417
Deutschland,41.0811
Deutschland,51.418
Deutschland,44.6584
Deutschland,38.8952
Deutschland,13.8211
Deutschland,23.9269
Deutschland,22.037
Deutschland,11.2963
Deutschland,20.7018
Deutschland,49.5035
Deutschland,25.8486
Deutschland,42.0598
Deutschland;,35.2035
Deutschland;,4.7619
Deutschland,29.6098
Deutschland,49.6552
Deutschland,86.2541
Deutschland,22.3744
Deutschland,70.4527
Deutschland,63.1746
Deutschland;,57.7778
Deutschland,21.8803
Deutschland,34.2857
Deutschland,45.4902
Deutschland;,28.1285
